time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
1887839231	2.8645	2.5027	2.8536
1887839631	2.7139	2.7002	2.7077
1887840031	2.5194	2.8546	2.5095
1887840431	2.2932	2.9560	2.2782
1887840831	2.0486	2.9988	2.0429
1887841231	1.8014	2.9801	1.7922
1887841631	1.5660	2.9009	1.5626
1887842031	1.3577	2.7665	1.3538
1887842431	1.1886	2.5846	1.1758
1887842831	1.0696	2.3666	1.0670
1887843231	1.0080	2.1265	0.9864
1887843631	1.0075	1.8781	0.9993
1887844031	1.0679	1.6377	1.0613
1887844431	1.1860	1.4192	1.1790
1887844831	1.3538	1.2368	1.3547
1887845231	1.5618	1.1011	1.5529
1887845631	1.7969	1.0208	1.7664
1887846031	2.0440	1.0010	2.0412
1887846431	2.2888	1.0426	2.2572
1887846831	2.5154	1.1431	2.5070
1887847231	2.7107	1.2965	2.7061
1887847631	2.8619	1.4929	2.8519
1887848031	2.9603	1.7210	2.9414
1887848431	2.9994	1.9657	2.9946
1887848831	2.9769	2.2136	2.9712
1887849231	2.8941	2.4478	2.8826
1887849631	2.7565	2.6539	2.7456
1887850031	2.5720	2.8202	2.5562
1887850431	2.3527	2.9357	2.3451
1887850831	2.1112	2.9938	2.1073
1887851231	1.8634	2.9906	1.8599
1887851631	1.6235	2.9264	1.6198
1887852031	1.4068	2.8050	1.3990
1887852431	1.2270	2.6344	1.2160
1887852831	1.0945	2.4243	1.0911
1887853231	1.0179	2.1886	1.0122
1887853631	1.0018	1.9407	0.9960
1887854031	1.0470	1.6970	1.0428
1887854431	1.1511	1.4715	1.1451
1887854831	1.3075	1.2786	1.3031
1887855231	1.5062	1.1304	1.5013
1887855631	1.7358	1.0355	1.7262
1887856031	1.9811	1.0002	1.9776
1887856431	2.2281	1.0264	2.2177
1887856831	2.4605	1.1124	2.4547
1887857231	2.6651	1.2532	2.6505
1887857631	2.8283	1.4398	2.8270
1887858031	2.9409	1.6612	2.9374
1887858431	2.9953	1.9035	2.9873
1887858831	2.9884	2.1518	2.9744
1887859231	2.9205	2.3907	2.9116
1887859631	2.7961	2.6051	2.7625
1887860031	2.6225	2.7827	2.6126
1887860431	2.4108	2.9117	2.4063
1887860831	2.1735	2.9848	2.1613
1887861231	1.9254	2.9972	1.9188
1887861631	1.6824	2.9482	1.6778
1887862031	1.4585	2.8407	1.4497
1887862431	1.2684	2.6817	1.2563
1887862831	1.1229	2.4804	1.1169
1887863231	1.0317	2.2499	1.0242
1887863631	1.0000	2.0036	0.9952
1887864031	1.0300	1.7570	1.0234
1887864431	1.1195	1.5259	1.1161
1887864831	1.2635	1.3235	1.2604
1887865231	1.4525	1.1632	1.4441
1887865631	1.6757	1.0541	1.6665
1887866031	1.9183	1.0033	1.9107
1887866431	2.1664	1.0139	2.1508
1887866831	2.4038	1.0852	2.4031
1887867231	2.6168	1.2129	2.5981
1887867631	2.7918	1.3892	2.7826
1887868031	2.9177	1.6027	2.9108
1887868431	2.9873	1.8411	2.9720
1887868831	2.9960	2.0894	2.9914
1887869231	2.9433	2.3321	2.9333
1887869631	2.8326	2.5539	2.8189
1887870031	2.6704	2.7420	2.6682
1887870431	2.4669	2.8843	2.4555
1887870831	2.2350	2.9720	2.2226
1887871231	1.9882	2.9999	1.9510
1887871631	1.7427	2.9663	1.7358
1887872031	1.5124	2.8731	1.5062
1887872431	1.3127	2.7264	1.3047
1887872831	1.1549	2.5346	1.1508
1887873231	1.0492	2.3098	1.0420
1887873631	1.0022	2.0664	0.9985
1887874031	1.0166	1.8185	1.0097
1887874431	1.0915	1.5822	1.0847
1887874831	1.2225	1.3712	1.2136
1887875231	1.4010	1.1992	1.3941
1887875631	1.6168	1.0763	1.6077
1887876031	1.8558	1.0105	1.8478
1887876431	2.1041	1.0054	2.0960
1887876831	2.3460	1.0618	2.3314
1887877231	2.5662	1.1757	2.5602
1887877631	2.7518	1.3407	2.7432
1887878031	2.8909	1.5458	2.8842
1887878431	2.9754	1.7794	2.9688
1887878831	2.9996	2.0266	3.0083
1887879231	2.9623	2.2721	2.9551
1887879631	2.8655	2.5009	2.8568
1887880031	2.7157	2.6984	2.7061
1887880431	2.5215	2.8532	2.5175
1887880831	2.2957	2.9553	2.2886
1887881231	2.0511	2.9987	2.0437
1887881631	1.8039	2.9806	1.7995
1887882031	1.5683	2.9020	1.5601
1887882431	1.3593	2.7678	1.3498
1887882831	1.1901	2.5866	1.1854
1887883231	1.0705	2.3689	1.0670
1887883631	1.0084	2.1290	1.0017
1887884031	1.0071	1.8806	1.0017
1887884431	1.0670	1.6401	1.0557
1887884831	1.1845	1.4213	1.1572
1887885231	1.3519	1.2385	1.3401
1887885631	1.5595	1.1022	1.5553
1887886031	1.7944	1.0214	1.7842
1887886431	2.0414	1.0009	2.0404
1887886831	2.2864	1.0419	2.2798
1887887231	2.5132	1.1417	2.5022
1887887631	2.7089	1.2947	2.7029
1887888031	2.8606	1.4907	2.8511
1887888431	2.9596	1.7185	2.9478
1887888831	2.9993	1.9637	2.9881
1887889231	2.9775	2.2111	2.9615
1887889631	2.8953	2.4455	2.8737
1887890031	2.7582	2.6520	2.7399
1887890431	2.5741	2.8188	2.5755
1887890831	2.3551	2.9348	2.3467
1887891231	2.1138	2.9935	2.1049
1887891631	1.8654	2.9909	1.8535
1887892031	1.6258	2.9274	1.6246
1887892431	1.4088	2.8065	1.4062
1887892831	1.2286	2.6364	1.2305
1887893231	1.0956	2.4266	1.0718
1887893631	1.0184	2.1911	1.0162
1887894031	1.0016	1.9433	0.9936
1887894431	1.0462	1.6995	1.0396
1887894831	1.1497	1.4737	1.1435
1887895231	1.3057	1.2804	1.3031
1887895631	1.5040	1.1317	1.4957
1887896031	1.7333	1.0362	1.7245
1887896431	1.9785	1.0002	1.9663
1887896831	2.2256	1.0258	2.2218
1887897231	2.4583	1.1112	2.4450
1887897631	2.6632	1.2515	2.6618
1887898031	2.8272	1.4381	2.8173
1887898431	2.9400	1.6588	2.9341
1887898831	2.9951	1.9010	2.9873
1887899231	2.9888	2.1493	2.9817
1887899631	2.9215	2.3883	2.9140
1887900031	2.7977	2.6031	2.7875
1887900431	2.6245	2.7811	2.6247
1887900831	2.4127	2.9109	2.4055
1887901231	2.1760	2.9844	2.1718
1887901631	1.9280	2.9974	1.9188
1887902031	1.6849	2.9490	1.6770
1887902431	1.4607	2.8421	1.4586
1887902831	1.2701	2.6836	1.2644
1887903231	1.1242	2.4826	1.1169
1887903631	1.0324	2.2524	1.0283
