time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
493110509	2.9494	2.3142	2.9293
493110707	2.9029	2.4299	2.8987
493110907	2.8421	2.5393	2.8270
493111107	2.7678	2.6407	2.7641
493111307	2.6813	2.7320	2.6682
493111507	2.5841	2.8117	2.5788
493111707	2.4781	2.8783	2.4692
493111907	2.3642	2.9313	2.3620
493112107	2.2445	2.9697	2.2427
493112307	2.1209	2.9927	2.1154
493112507	1.9959	3.0000	1.9961
493112707	1.8705	2.9916	1.8591
493112907	1.7471	2.9675	1.7463
493113107	1.6277	2.9281	1.6198
493113307	1.5147	2.8743	1.5110
493113507	1.4088	2.8065	1.4006
493113707	1.3123	2.7260	1.2990
493113907	1.2267	2.6340	1.2241
493114107	1.1535	2.5324	1.1475
493114307	1.0934	2.4220	1.0887
493114507	1.0476	2.3049	1.0388
493114707	1.0170	2.1835	1.0105
493114907	1.0017	2.0588	0.9993
493115107	1.0022	1.9331	0.9799
493115307	1.0185	1.8084	1.0154
493115507	1.0502	1.6873	1.0436
493115707	1.0969	1.5706	1.0887
493115907	1.1579	1.4607	1.1492
493116107	1.2322	1.3593	1.2217
493116307	1.3183	1.2684	1.3200
493116507	1.4154	1.1886	1.4086
493116707	1.5219	1.1217	1.5207
493116907	1.6358	1.0687	1.6262
493117107	1.7550	1.0305	1.7503
493117307	1.8786	1.0074	1.8752
493117507	2.0041	1.0000	1.9921
493117707	2.1295	1.0084	2.1275
493117907	2.2524	1.0324	2.2379
493118107	2.3718	1.0717	2.3588
493118307	2.4853	1.1257	2.4748
493118507	2.5912	1.1935	2.5731
493118707	2.6873	1.2736	2.6835
493118907	2.7730	1.3656	2.7641
493119107	2.8465	1.4676	2.8423
493119307	2.9066	1.5780	2.8947
493119507	2.9522	1.6946	2.9398
493119707	2.9830	1.8165	2.9768
493119907	2.9983	1.9412	2.9857
493120107	2.9978	2.0669	2.9922
493120307	2.9815	2.1916	2.9736
493120507	2.9497	2.3132	2.9317
493120707	2.9029	2.4299	2.8987
493120907	2.8421	2.5393	2.8326
493121107	2.7678	2.6407	2.7568
493121307	2.6813	2.7320	2.6666
493121507	2.5841	2.8117	2.5642
493121707	2.4781	2.8783	2.4643
493121907	2.3642	2.9313	2.3579
493122107	2.2445	2.9697	2.2355
493122307	2.1209	2.9927	2.1154
493122507	1.9959	3.0000	1.9856
493122707	1.8705	2.9916	1.8575
493122907	1.7471	2.9675	1.7390
493123107	1.6277	2.9281	1.6254
493123307	1.5147	2.8743	1.5078
493123507	1.4088	2.8065	1.4086
493123707	1.3123	2.7260	1.3127
493123907	1.2267	2.6340	1.2177
493124107	1.1535	2.5324	1.1435
493124307	1.0934	2.4220	1.0871
493124507	1.0476	2.3049	1.0476
493124707	1.0170	2.1835	1.0122
493124907	1.0017	2.0588	0.9993
493125107	1.0022	1.9331	0.9960
493125307	1.0185	1.8084	1.0114
493125507	1.0502	1.6873	1.0468
493125707	1.0969	1.5706	1.0903
