time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
1078408115	2.3765	1.0736	2.3700
1078408315	2.4898	1.1282	2.4853
1078408515	2.5949	1.1962	2.5860
1078408715	2.6910	1.2772	2.6803
1078408915	2.7762	1.3696	2.7657
1078409115	2.8492	1.4719	2.8431
1078409315	2.9085	1.5822	2.8818
1078409515	2.9538	1.6995	2.9462
1078409715	2.9839	1.8215	2.9744
1078409915	2.9986	1.9463	2.9930
1078410115	2.9974	2.0720	2.9938
1078410315	2.9805	2.1966	2.9599
1078410515	2.9481	2.3180	2.9325
1078410715	2.9007	2.4345	2.8955
1078410915	2.8393	2.5436	2.8358
1078411115	2.7645	2.6446	2.7528
1078411315	2.6776	2.7354	2.6730
1078411515	2.5804	2.8143	2.5739
1078411715	2.4736	2.8807	2.4659
1078411915	2.3594	2.9332	2.3483
1078412115	2.2395	2.9709	2.2355
1078412315	2.1163	2.9932	2.1122
1078412515	1.9908	3.0000	1.9816
1078412715	1.8654	2.9909	1.8559
1078412915	1.7422	2.9662	1.7318
1078413115	1.6235	2.9264	1.6198
1078413315	1.5102	2.8718	1.5086
1078413515	1.4047	2.8035	1.3982
1078413715	1.3086	2.7225	1.3023
1078413915	1.2238	2.6304	1.2233
1078414115	1.1508	2.5281	1.1484
1078414315	1.0913	2.4174	1.0919
1078414515	1.0461	2.3001	1.0388
1078414715	1.0161	2.1785	1.0114
1078414915	1.0014	2.0537	0.9960
1078415115	1.0026	1.9280	1.0017
1078415315	1.0195	1.8034	1.0138
1078415515	1.0518	1.6824	1.0460
1078415715	1.0991	1.5660	1.0952
1078415915	1.1607	1.4564	1.1548
1078416115	1.2355	1.3554	1.2273
1078416315	1.3220	1.2649	1.3111
1078416515	1.4196	1.1857	1.4143
1078416715	1.5264	1.1193	1.5207
1078416915	1.6401	1.0670	1.6311
1078417115	1.7600	1.0292	1.7503
1078417315	1.8837	1.0068	1.8768
1078417515	2.0092	1.0000	2.0034
1078417715	2.1341	1.0090	2.1218
1078417915	2.2573	1.0337	2.2443
1078418115	2.3765	1.0736	2.3733
1078418315	2.4898	1.1282	2.4732
1078418515	2.5949	1.1962	2.5812
1078418715	2.6910	1.2772	2.6811
1078418915	2.7762	1.3696	2.7665
1078419115	2.8492	1.4719	2.8439
1078419315	2.9085	1.5822	2.9003
1078419515	2.9538	1.6995	2.9398
1078419715	2.9839	1.8215	2.9768
1078419915	2.9986	1.9463	2.9938
1078420115	2.9974	2.0720	2.9865
1078420315	2.9805	2.1966	2.9801
1078420515	2.9481	2.3180	2.9422
1078420715	2.9007	2.4345	2.8906
1078420915	2.8393	2.5436	2.8366
1078421115	2.7645	2.6446	2.7577
1078421315	2.6776	2.7354	2.6763
1078421515	2.5804	2.8143	2.5731
1078421715	2.4736	2.8807	2.4571
1078421915	2.3594	2.9332	2.3451
1078422115	2.2395	2.9709	2.2274
1078422315	2.1163	2.9932	2.1009
1078422515	1.9908	3.0000	1.9808
1078422715	1.8654	2.9909	1.8607
1078422915	1.7422	2.9662	1.7302
1078423115	1.6235	2.9264	1.6149
1078423315	1.5102	2.8718	1.5021
1078423515	1.4047	2.8035	1.3974
1078423715	1.3086	2.7225	1.3039
1078423915	1.2238	2.6304	1.2209
1078424115	1.1508	2.5281	1.1459
1078424315	1.0913	2.4174	1.0839
1078424515	1.0461	2.3001	1.0363
1078424715	1.0161	2.1785	1.0122
1078424915	1.0014	2.0537	0.9968
1078425115	1.0026	1.9280	0.9977
1078425315	1.0195	1.8034	1.0130
1078425515	1.0518	1.6824	1.0484
1078425715	1.0991	1.5660	1.0968
1078425915	1.1607	1.4564	1.1556
1078426115	1.2355	1.3554	1.2322
1078426315	1.3220	1.2649	1.3160
1078426515	1.4196	1.1857	1.4151
1078426715	1.5264	1.1193	1.5223
1078426915	1.6401	1.0670	1.6351
1078427115	1.7600	1.0292	1.7608
1078427315	1.8837	1.0068	1.8768
1078427515	2.0092	1.0000	2.0050
1078427715	2.1341	1.0090	2.1339
1078427915	2.2573	1.0337	2.2572
1078428115	2.3765	1.0736	2.3716
1078428315	2.4898	1.1282	2.4821
1078428515	2.5949	1.1962	2.5828
1078428715	2.6910	1.2772	2.6771
1078428915	2.7762	1.3696	2.7730
1078429115	2.8492	1.4719	2.8423
1078429315	2.9085	1.5822	2.8987
1078429515	2.9538	1.6995	2.9511
1078429715	2.9839	1.8215	2.9736
1078429915	2.9986	1.9463	3.0002
1078430115	2.9974	2.0720	2.9817
1078430315	2.9805	2.1966	2.9640
1078430515	2.9481	2.3180	2.9446
1078430715	2.9007	2.4345	2.8890
1078430915	2.8393	2.5436	2.8382
1078431115	2.7645	2.6446	2.7568
1078431315	2.6776	2.7354	2.6545
1078431515	2.5804	2.8143	2.5731
1078431715	2.4736	2.8807	2.4716
1078431915	2.3594	2.9332	2.3499
1078432115	2.2395	2.9709	2.2290
1078432315	2.1163	2.9932	2.1025
1078432515	1.9908	3.0000	1.9824
1078432715	1.8654	2.9909	1.8567
1078432915	1.7422	2.9662	1.7020
1078433115	1.6235	2.9264	1.6149
1078433315	1.5102	2.8718	1.5029
1078433515	1.4047	2.8035	1.3974
1078433715	1.3086	2.7225	1.3055
1078433915	1.2238	2.6304	1.2185
1078434115	1.1508	2.5281	1.1459
1078434315	1.0913	2.4174	1.0774
1078434515	1.0461	2.3001	1.0436
1078434715	1.0161	2.1785	1.0105
1078434915	1.0014	2.0537	0.9920
1078435115	1.0026	1.9280	0.9952
1078435315	1.0195	1.8034	1.0122
1078435515	1.0518	1.6824	1.0500
1078435715	1.0991	1.5660	1.0976
1078435915	1.1607	1.4564	1.1548
1078436115	1.2355	1.3554	1.2249
1078436315	1.3220	1.2649	1.3144
1078436515	1.4196	1.1857	1.4127
1078436715	1.5264	1.1193	1.5182
1078436915	1.6401	1.0670	1.6303
1078437115	1.7600	1.0292	1.7487
1078437315	1.8837	1.0068	1.8785
1078437515	2.0092	1.0000	1.9864
1078437715	2.1341	1.0090	2.1307
1078437915	2.2573	1.0337	2.2459
1078438115	2.3765	1.0736	2.3644
1078438315	2.4898	1.1282	2.4748
1078438515	2.5949	1.1962	2.5892
1078438715	2.6910	1.2772	2.6875
1078438915	2.7762	1.3696	2.7681
1078439115	2.8492	1.4719	2.8374
1078439315	2.9085	1.5822	2.8995
1078439515	2.9538	1.6995	2.9462
1078439715	2.9839	1.8215	2.9785
1078439915	2.9986	1.9463	2.9833
1078440115	2.9974	2.0720	2.9897
1078440315	2.9805	2.1966	2.9728
1078440515	2.9481	2.3180	2.9366
1078440715	2.9007	2.4345	2.8922
1078440915	2.8393	2.5436	2.8334
1078441115	2.7645	2.6446	2.7609
1078441315	2.6776	2.7354	2.6747
1078441515	2.5804	2.8143	2.5755
1078441715	2.4736	2.8807	2.4708
1078441915	2.3594	2.9332	2.3491
1078442115	2.2395	2.9709	2.2298
1078442315	2.1163	2.9932	2.1154
1078442515	1.9908	3.0000	1.9840
1078442715	1.8654	2.9909	1.8543
1078442915	1.7422	2.9662	1.7326
1078443115	1.6235	2.9264	1.6141
1078443315	1.5102	2.8718	1.4957
1078443515	1.4047	2.8035	1.4006
1078443715	1.3086	2.7225	1.3007
1078443915	1.2238	2.6304	1.2168
1078444115	1.1508	2.5281	1.1459
1078444315	1.0913	2.4174	1.0847
1078444515	1.0461	2.3001	1.0404
1078444715	1.0161	2.1785	1.0114
1078444915	1.0014	2.0537	0.9920
1078445115	1.0026	1.9280	0.9968
1078445315	1.0195	1.8034	1.0122
1078445515	1.0518	1.6824	1.0500
1078445715	1.0991	1.5660	1.0976
1078445915	1.1607	1.4564	1.1556
1078446115	1.2355	1.3554	1.2305
1078446315	1.3220	1.2649	1.3136
1078446515	1.4196	1.1857	1.4135
1078446715	1.5264	1.1193	1.5215
1078446915	1.6401	1.0670	1.6303
1078447115	1.7600	1.0292	1.7576
1078447315	1.8837	1.0068	1.8777
1078447515	2.0092	1.0000	2.0010
1078447715	2.1341	1.0090	2.1291
1078447915	2.2573	1.0337	2.2524
1078448115	2.3765	1.0736	2.3708
1078448315	2.4898	1.1282	2.4804
1078448515	2.5949	1.1962	2.5900
1078448715	2.6910	1.2772	2.6795
1078448915	2.7762	1.3696	2.7746
1078449115	2.8492	1.4719	2.8407
1078449315	2.9085	1.5822	2.9003
1078449515	2.9538	1.6995	2.9462
1078449715	2.9839	1.8215	2.9712
1078449915	2.9986	1.9463	2.9833
1078450115	2.9974	2.0720	2.9889
1078450315	2.9805	2.1966	2.9768
1078450515	2.9481	2.3180	2.9374
1078450715	2.9007	2.4345	2.8890
1078450915	2.8393	2.5436	2.8286
1078451115	2.7645	2.6446	2.7560
1078451315	2.6776	2.7354	2.6730
1078451515	2.5804	2.8143	2.5812
1078451715	2.4736	2.8807	2.4627
1078451915	2.3594	2.9332	2.3467
1078452115	2.2395	2.9709	2.2306
1078452315	2.1163	2.9932	2.1041
1078452515	1.9908	3.0000	1.9760
1078452715	1.8654	2.9909	1.8599
1078452915	1.7422	2.9662	1.7382
1078453115	1.6235	2.9264	1.6149
1078453315	1.5102	2.8718	1.5021
1078453515	1.4047	2.8035	1.3998
1078453715	1.3086	2.7225	1.3079
1078453915	1.2238	2.6304	1.2168
1078454115	1.1508	2.5281	1.1467
1078454315	1.0913	2.4174	1.0799
1078454515	1.0461	2.3001	1.0379
1078454715	1.0161	2.1785	1.0122
1078454915	1.0014	2.0537	0.9968
1078455115	1.0026	1.9280	0.9977
1078455315	1.0195	1.8034	1.0130
1078455515	1.0518	1.6824	1.0476
1078455715	1.0991	1.5660	1.0952
1078455915	1.1607	1.4564	1.1604
1078456115	1.2355	1.3554	1.2241
1078456315	1.3220	1.2649	1.3127
1078456515	1.4196	1.1857	1.4111
1078456715	1.5264	1.1193	1.5182
1078456915	1.6401	1.0670	1.6359
1078457115	1.7600	1.0292	1.7552
1078457315	1.8837	1.0068	1.8817
1078457515	2.0092	1.0000	2.0010
1078457715	2.1341	1.0090	2.1339
1078457915	2.2573	1.0337	2.2524
1078458115	2.3765	1.0736	2.3612
1078458315	2.4898	1.1282	2.4901
1078458515	2.5949	1.1962	2.5844
1078458715	2.6910	1.2772	2.6811
1078458915	2.7762	1.3696	2.7738
1078459115	2.8492	1.4719	2.8382
1078459315	2.9085	1.5822	2.8938
1078459515	2.9538	1.6995	2.9543
1078459715	2.9839	1.8215	2.9817
1078459915	2.9986	1.9463	2.9938
1078460115	2.9974	2.0720	2.9881
1078460315	2.9805	2.1966	2.9768
1078460515	2.9481	2.3180	2.9406
1078460715	2.9007	2.4345	2.8930
1078460915	2.8393	2.5436	2.8334
1078461115	2.7645	2.6446	2.7544
1078461315	2.6776	2.7354	2.6682
1078461515	2.5804	2.8143	2.5723
1078461715	2.4736	2.8807	2.4619
1078461915	2.3594	2.9332	2.3563
1078462115	2.2395	2.9709	2.2322
1078462315	2.1163	2.9932	2.1130
1078462515	1.9908	3.0000	1.9864
1078462715	1.8654	2.9909	1.8583
1078462915	1.7422	2.9662	1.7374
1078463115	1.6235	2.9264	1.6206
1078463315	1.5102	2.8718	1.5078
1078463515	1.4047	2.8035	1.3966
1078463715	1.3086	2.7225	1.3071
1078463915	1.2238	2.6304	1.2168
1078464115	1.1508	2.5281	1.1443
1078464315	1.0913	2.4174	1.0839
1078464515	1.0461	2.3001	1.0339
1078464715	1.0161	2.1785	1.0138
1078464915	1.0014	2.0537	0.9952
1078465115	1.0026	1.9280	0.9993
1078465315	1.0195	1.8034	1.0122
1078465515	1.0518	1.6824	1.0516
1078465715	1.0991	1.5660	1.0968
1078465915	1.1607	1.4564	1.1556
1078466115	1.2355	1.3554	1.2233
1078466315	1.3220	1.2649	1.3184
