time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
1332729107	2.8465	1.4676	2.8374
1332729307	2.9066	1.5780	2.9051
1332729507	2.9522	1.6946	2.9422
1332729707	2.9830	1.8165	2.9760
1332729907	2.9983	1.9412	2.9640
1332730107	2.9978	2.0669	2.9841
1332730307	2.9815	2.1916	2.9720
1332730507	2.9497	2.3132	2.9470
1332730707	2.9029	2.4299	2.8955
1332730907	2.8421	2.5393	2.8334
1332731107	2.7678	2.6407	2.7657
1332731307	2.6813	2.7320	2.6698
1332731507	2.5841	2.8117	2.5707
1332731707	2.4781	2.8783	2.4635
1332731907	2.3642	2.9313	2.3628
1332732107	2.2445	2.9697	2.2371
1332732307	2.1209	2.9927	2.1146
1332732507	1.9959	3.0000	1.9929
1332732707	1.8705	2.9916	1.8623
1332732907	1.7471	2.9675	1.7423
1332733107	1.6277	2.9281	1.6182
1332733307	1.5147	2.8743	1.5094
1332733507	1.4088	2.8065	1.4046
1332733707	1.3123	2.7260	1.3144
1332733907	1.2267	2.6340	1.2177
1332734107	1.1535	2.5324	1.1451
1332734307	1.0934	2.4220	1.0879
1332734507	1.0476	2.3049	1.0379
1332734707	1.0170	2.1835	1.0089
1332734907	1.0017	2.0588	0.9952
1332735107	1.0022	1.9331	1.0017
1332735307	1.0185	1.8084	1.0146
1332735507	1.0502	1.6873	1.0452
1332735707	1.0969	1.5706	1.0895
1332735907	1.1579	1.4607	1.1492
1332736107	1.2322	1.3593	1.2297
1332736307	1.3183	1.2684	1.3160
1332736507	1.4154	1.1886	1.4038
1332736707	1.5219	1.1217	1.5158
1332736907	1.6358	1.0687	1.5916
1332737107	1.7550	1.0305	1.7334
1332737307	1.8786	1.0074	1.8728
1332737507	2.0041	1.0000	2.0001
1332737707	2.1295	1.0084	2.1242
1332737907	2.2524	1.0324	2.2427
1332738107	2.3718	1.0717	2.3571
1332738307	2.4853	1.1257	2.4643
1332738507	2.5912	1.1935	2.5844
1332738707	2.6873	1.2736	2.6755
1332738907	2.7730	1.3656	2.7689
1332739107	2.8465	1.4676	2.8407
1332739307	2.9066	1.5780	2.8890
1332739507	2.9522	1.6946	2.9422
1332739707	2.9830	1.8165	2.9688
1332739907	2.9983	1.9412	2.9881
1332740107	2.9978	2.0669	2.9930
1332740307	2.9815	2.1916	2.9752
1332740507	2.9497	2.3132	2.9188
1332740707	2.9029	2.4299	2.8914
1332740907	2.8421	2.5393	2.8278
1332741107	2.7678	2.6407	2.7649
1332741307	2.6813	2.7320	2.6771
1332741507	2.5841	2.8117	2.5771
1332741707	2.4781	2.8783	2.4692
1332741907	2.3642	2.9313	2.3209
1332742107	2.2445	2.9697	2.2363
