time[us]	ref_X[V]	ref_Y[V]	sig_I[V]
320014681	1.0200	2.1991	1.0146
320014881	1.0028	2.0751	0.9952
320015081	1.0013	1.9494	0.9920
320015281	1.0155	1.8245	1.0114
320015481	1.0453	1.7024	1.0363
320015681	1.0900	1.5854	1.0863
320015881	1.1492	1.4745	1.1443
320016081	1.2218	1.3720	1.2177
320016281	1.3064	1.2796	1.3063
320016481	1.4022	1.1983	1.3958
320016681	1.5075	1.1297	1.4989
320016881	1.6206	1.0748	1.6149
320017081	1.7392	1.0346	1.7358
320017281	1.8624	1.0095	1.8535
320017481	1.9877	1.0001	1.9848
320017681	2.1133	1.0064	2.1130
320017881	2.2365	1.0284	2.2314
320018081	2.3566	1.0657	2.3531
320018281	2.4709	1.1178	2.4627
320018481	2.5779	1.1839	2.5626
320018681	2.6753	1.2625	2.6545
320018881	2.7625	1.3530	2.7577
320019081	2.8377	1.4538	2.8294
320019281	2.8996	1.5632	2.8930
320019481	2.9471	1.6790	2.9438
320019681	2.9799	1.8004	2.9744
320019881	2.9972	1.9249	2.9962
320020081	2.9987	2.0511	2.9583
320020281	2.9845	2.1755	2.9696
320020481	2.9547	2.2976	2.9486
320020681	2.9098	2.4150	2.9011
320020881	2.8508	2.5255	2.8503
320021081	2.7782	2.6280	2.7665
320021281	2.6932	2.7207	2.6755
320021481	2.5973	2.8020	2.5933
320021681	2.4925	2.8703	2.4893
320021881	2.3794	2.9252	2.3684
320022081	2.2603	2.9655	2.2484
320022281	2.1371	2.9906	2.1299
320022481	2.0123	2.9999	2.0066
320022681	1.8867	2.9936	1.8801
320022881	1.7630	2.9715	1.7423
320023081	1.6430	2.9341	1.6407
320023281	1.5291	2.8822	1.5287
320023481	1.4221	2.8161	1.4143
320023681	1.3243	2.7372	1.3168
320023881	1.2371	2.6466	1.2370
320024081	1.1623	2.5462	1.1548
320024281	1.1004	2.4368	1.0895
320024481	1.0527	2.3205	1.0484
320024681	1.0200	2.1991	1.0154
320024881	1.0028	2.0751	0.9952
320025081	1.0013	1.9494	0.9912
320025281	1.0155	1.8245	1.0089
320025481	1.0453	1.7024	1.0379
320025681	1.0900	1.5854	1.0887
320025881	1.1492	1.4745	1.1427
320026081	1.2218	1.3720	1.2152
320026281	1.3064	1.2796	1.3039
320026481	1.4022	1.1983	1.4014
320026681	1.5075	1.1297	1.5045
320026881	1.6206	1.0748	1.6101
320027081	1.7392	1.0346	1.7286
320027281	1.8624	1.0095	1.8567
320027481	1.9877	1.0001	1.9824
320027681	2.1133	1.0064	2.1017
320027881	2.2365	1.0284	2.2290
320028081	2.3566	1.0657	2.3531
320028281	2.4709	1.1178	2.4434
320028481	2.5779	1.1839	2.5683
320028681	2.6753	1.2625	2.6730
320028881	2.7625	1.3530	2.7448
320029081	2.8377	1.4538	2.8221
320029281	2.8996	1.5632	2.8955
320029481	2.9471	1.6790	2.9349
320029681	2.9799	1.8004	2.9728
320029881	2.9972	1.9249	2.9825
320030081	2.9987	2.0511	2.9938
320030281	2.9845	2.1755	2.9760
320030481	2.9547	2.2976	2.9495
320030681	2.9098	2.4150	2.9011
320030881	2.8508	2.5255	2.8479
320031081	2.7782	2.6280	2.7738
320031281	2.6932	2.7207	2.6835
320031481	2.5973	2.8020	2.5844
320031681	2.4925	2.8703	2.4877
320031881	2.3794	2.9252	2.3725
320032081	2.2603	2.9655	2.2500
320032281	2.1371	2.9906	2.1259
320032481	2.0123	2.9999	2.0034
320032681	1.8867	2.9936	1.8785
320032881	1.7630	2.9715	1.7544
320033081	1.6430	2.9341	1.6399
320033281	1.5291	2.8822	1.5239
320033481	1.4221	2.8161	1.4143
320033681	1.3243	2.7372	1.3184
320033881	1.2371	2.6466	1.2354
320034081	1.1623	2.5462	1.1572
320034281	1.1004	2.4368	1.0976
320034481	1.0527	2.3205	1.0436
320034681	1.0200	2.1991	1.0130
320034881	1.0028	2.0751	0.9960
320035081	1.0013	1.9494	0.9936
320035281	1.0155	1.8245	1.0081
320035481	1.0453	1.7024	1.0412
320035681	1.0900	1.5854	1.0863
320035881	1.1492	1.4745	1.1427
320036081	1.2218	1.3720	1.2185
320036281	1.3064	1.2796	1.3031
320036481	1.4022	1.1983	1.3982
320036681	1.5075	1.1297	1.5062
320036881	1.6206	1.0748	1.6117
320037081	1.7392	1.0346	1.7286
320037281	1.8624	1.0095	1.8503
320037481	1.9877	1.0001	1.9776
320037681	2.1133	1.0064	2.1049
320037881	2.2365	1.0284	2.2210
320038081	2.3566	1.0657	2.3531
320038281	2.4709	1.1178	2.4659
320038481	2.5779	1.1839	2.5642
320038681	2.6753	1.2625	2.6706
320038881	2.7625	1.3530	2.7577
320039081	2.8377	1.4538	2.8286
320039281	2.8996	1.5632	2.8938
320039481	2.9471	1.6790	2.9382
320039681	2.9799	1.8004	2.9752
320039881	2.9972	1.9249	2.9873
320040081	2.9987	2.0511	2.9736
320040281	2.9845	2.1755	2.9511
320040481	2.9547	2.2976	2.9551
320040681	2.9098	2.4150	2.9067
320040881	2.8508	2.5255	2.8431
320041081	2.7782	2.6280	2.7705
320041281	2.6932	2.7207	2.6513
320041481	2.5973	2.8020	2.5900
320041681	2.4925	2.8703	2.4821
320041881	2.3794	2.9252	2.3765
320042081	2.2603	2.9655	2.2604
320042281	2.1371	2.9906	2.1363
320042481	2.0123	2.9999	2.0090
320042681	1.8867	2.9936	1.8833
320042881	1.7630	2.9715	1.7632
320043081	1.6430	2.9341	1.6351
320043281	1.5291	2.8822	1.5247
320043481	1.4221	2.8161	1.4151
320043681	1.3243	2.7372	1.3224
320043881	1.2371	2.6466	1.2330
320044081	1.1623	2.5462	1.1556
320044281	1.1004	2.4368	1.0936
320044481	1.0527	2.3205	1.0500
320044681	1.0200	2.1991	1.0122
320044881	1.0028	2.0751	0.9968
